,ID,Acronym,Name,Parent Region,Layer,Ancestors,Graph Order
312,480149290,VISmmp1,"Mediomedial posterior visual area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",312
313,480149294,VISmmp2/3,"Mediomedial posterior visual area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",313
314,480149298,VISmmp4,"Mediomedial posterior visual area, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",314
315,480149302,VISmmp5,"Mediomedial posterior visual area,layer 5",Cerebral cortex,5,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",315
316,480149306,VISmmp6a,"Mediomedial posterior visual area, layer 6a",Cerebral cortex,6a,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",316
317,480149310,VISmmp6b,"Mediomedial posterior visual area, layer 6b",Cerebral cortex,6b,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Mediomedial posterior visual area']",317
318,480149314,VISm,Medial visual area,Cerebral cortex,,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part']",318
319,480149318,VISm1,"Medial visual area, layer 1",Cerebral cortex,1,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Medial visual area']",319
320,480149322,VISm2/3,"Medial visual area, layer 2/3",Cerebral cortex,2/3,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Medial visual area']",320
321,480149326,VISm4,"Medial visual area, layer 4",Cerebral cortex,4,"['root', 'Basic cell groups and regions', 'Cerebrum', 'Cerebral cortex', 'Cortical plate', 'Isocortex', 'Retrosplenial area', 'Retrosplenial area, lateral agranular part', 'Medial visual area']",321
